ds,y_gt,cap,floor
2020-08-10 00:00:00,21817,32289,20108
2020-08-10 00:30:00,21362,32289,20108
2020-08-10 01:00:00,21164,32289,20108
2020-08-10 01:30:00,21127,32289,20108
2020-08-10 02:00:00,20954,32289,20108
2020-08-10 02:30:00,20655,32289,20108
2020-08-10 03:00:00,20348,32289,20108
2020-08-10 03:30:00,20332,32289,20108
2020-08-10 04:00:00,20229,32289,20108
2020-08-10 04:30:00,20508,32289,20108
2020-08-10 05:00:00,20108,32289,20108
2020-08-10 05:30:00,20642,32289,20108
2020-08-10 06:00:00,22930,32289,20108
2020-08-10 06:30:00,24417,32289,20108
2020-08-10 07:00:00,26037,32289,20108
2020-08-10 07:30:00,27130,32289,20108
2020-08-10 08:00:00,28136,32289,20108
2020-08-10 08:30:00,28717,32289,20108
2020-08-10 09:00:00,29334,32289,20108
2020-08-10 09:30:00,29073,32289,20108
2020-08-10 10:00:00,28827,32289,20108
2020-08-10 10:30:00,28669,32289,20108
2020-08-10 11:00:00,28412,32289,20108
2020-08-10 11:30:00,28166,32289,20108
2020-08-10 12:00:00,28376,32289,20108
2020-08-10 12:30:00,28492,32289,20108
2020-08-10 13:00:00,28311,32289,20108
2020-08-10 13:30:00,28229,32289,20108
2020-08-10 14:00:00,28153,32289,20108
2020-08-10 14:30:00,28181,32289,20108
2020-08-10 15:00:00,28251,32289,20108
2020-08-10 15:30:00,28318,32289,20108
2020-08-10 16:00:00,29415,32289,20108
2020-08-10 16:30:00,30578,32289,20108
2020-08-10 17:00:00,31690,32289,20108
2020-08-10 17:30:00,32289,32289,20108
2020-08-10 18:00:00,32170,32289,20108
2020-08-10 18:30:00,32262,32289,20108
2020-08-10 19:00:00,31962,32289,20108
2020-08-10 19:30:00,31498,32289,20108
2020-08-10 20:00:00,31249,32289,20108
2020-08-10 20:30:00,31024,32289,20108
2020-08-10 21:00:00,31180,32289,20108
2020-08-10 21:30:00,30293,32289,20108
2020-08-10 22:00:00,29812,32289,20108
2020-08-10 22:30:00,28503,32289,20108
2020-08-10 23:00:00,25617,32289,20108
2020-08-10 23:30:00,24112,32289,20108
