ds,date,y_gt
2020-08-11 00:00:00,20200811,23537
2020-08-11 00:30:00,20200811,23409
2020-08-11 01:00:00,20200811,23236
2020-08-11 01:30:00,20200811,22893
2020-08-11 02:00:00,20200811,22744
2020-08-11 02:30:00,20200811,22489
2020-08-11 03:00:00,20200811,22229
2020-08-11 03:30:00,20200811,22182
2020-08-11 04:00:00,20200811,21733
2020-08-11 04:30:00,20200811,21737
2020-08-11 05:00:00,20200811,22325
2020-08-11 05:30:00,20200811,22630
2020-08-11 06:00:00,20200811,24348
2020-08-11 06:30:00,20200811,25535
2020-08-11 07:00:00,20200811,26852
2020-08-11 07:30:00,20200811,28034
2020-08-11 08:00:00,20200811,29650
2020-08-11 08:30:00,20200811,30285
2020-08-11 09:00:00,20200811,30732
2020-08-11 09:30:00,20200811,30462
2020-08-11 10:00:00,20200811,30717
2020-08-11 10:30:00,20200811,30561
2020-08-11 11:00:00,20200811,29596
2020-08-11 11:30:00,20200811,29441
2020-08-11 12:00:00,20200811,29945
2020-08-11 12:30:00,20200811,29907
2020-08-11 13:00:00,20200811,29722
2020-08-11 13:30:00,20200811,29509
2020-08-11 14:00:00,20200811,29428
2020-08-11 14:30:00,20200811,29566
2020-08-11 15:00:00,20200811,29692
2020-08-11 15:30:00,20200811,29887
2020-08-11 16:00:00,20200811,30173
2020-08-11 16:30:00,20200811,31036
2020-08-11 17:00:00,20200811,31790
2020-08-11 17:30:00,20200811,32392
2020-08-11 18:00:00,20200811,32571
2020-08-11 18:30:00,20200811,32657
2020-08-11 19:00:00,20200811,32388
2020-08-11 19:30:00,20200811,32158
2020-08-11 20:00:00,20200811,31556
2020-08-11 20:30:00,20200811,31263
2020-08-11 21:00:00,20200811,31648
2020-08-11 21:30:00,20200811,30676
2020-08-11 22:00:00,20200811,29216
2020-08-11 22:30:00,20200811,27878
2020-08-11 23:00:00,20200811,26705
2020-08-11 23:30:00,20200811,25616
